Drug A,Drug B,Comparison Type,Jaro-Winkler Sim,Levenshtein Dist,Soundex Match
primidone (Generic),prilocaine hydrochloride (Generic),Generic-to-Generic,0.8448,5,50%
Rimactane (Brand),rimegepant sulfate (Generic),Brand-to-Generic,0.8448,5,75%
Sephience (Brand),Septocaine (Brand),Brand-to-Brand,0.8448,6,75%
Krintafel (Brand),Kristalose (Brand),Brand-to-Brand,0.8448,5,75%
tiopronin (Generic),tiotropium bromide (Generic),Generic-to-Generic,0.8448,4,50%
trientine hydrochloride (Generic),Trintellix (Brand),Generic-to-Brand,0.8448,6,100%
uridine triacetate (Generic),diflorasone diacetate (Generic),Generic-to-Generic,0.8447,10,0%
cipaglucosidase alfa (Generic),choriogonadotropin alfa (Generic),Generic-to-Generic,0.8446,15,50%
hydroxocobalamin (Generic),hydroxyzine pamoate (Generic),Generic-to-Generic,0.8445,11,100%
efgartigimod alfa (Generic),cipaglucosidase alfa (Generic),Generic-to-Generic,0.8445,13,50%
Epiduo (Brand),Epitol (Brand),Brand-to-Brand,0.8444,3,75%
Evotaz (Brand),Evoxac (Brand),Brand-to-Brand,0.8444,2,75%
Mepron (Brand),meperidine hydrochloride (Generic),Brand-to-Generic,0.8444,5,75%
Veltin (Brand),Velban (Brand),Brand-to-Brand,0.8444,2,75%
Nexium (Brand),Nexviazyme (Brand),Brand-to-Brand,0.8444,5,50%
Femhrt (Brand),Femara (Brand),Brand-to-Brand,0.8444,2,75%
Veozah (Brand),Veopoz (Brand),Brand-to-Brand,0.8444,3,50%
Oraqix (Brand),Oravig (Brand),Brand-to-Brand,0.8444,2,75%
Alinia (Brand),Alimta (Brand),Brand-to-Brand,0.8444,2,75%
Alinia (Brand),Alimta (Brand),Brand-to-Brand,0.8444,2,75%
Alimta (Brand),alirocumab (Generic),Brand-to-Generic,0.8444,6,50%
Alimta (Brand),alirocumab (Generic),Brand-to-Generic,0.8444,6,50%
Ultiva (Brand),Ultane (Brand),Brand-to-Brand,0.8444,3,75%
Ultiva (Brand),Ultram (Brand),Brand-to-Brand,0.8444,3,75%
Ultane (Brand),Ultram (Brand),Brand-to-Brand,0.8444,3,75%
Lumryz (Brand),Lumi-Sporyn (Brand),Brand-to-Brand,0.8444,5,50%
Gablofen (Brand),Gabarone (Brand),Brand-to-Brand,0.8444,4,50%
Belrapzo (Brand),Belsomra (Brand),Brand-to-Brand,0.8444,5,50%
Zelsuvmi (Brand),Zelvysia (Brand),Brand-to-Brand,0.8444,5,50%
Briviact (Brand),Brilinta (Brand),Brand-to-Brand,0.8444,4,50%
Hemiclor (Brand),Hemlibra (Brand),Brand-to-Brand,0.8444,5,50%
Tafinlar (Brand),tapinarof (Generic),Brand-to-Generic,0.8444,4,75%
Jaythari (Brand),Jaypirca (Brand),Brand-to-Brand,0.8444,5,50%
Clarinex (Brand),clozapine (Generic),Brand-to-Generic,0.8444,4,50%
diazepam (Generic),diltiazem hydrochloride (Generic),Generic-to-Generic,0.8444,5,25%
Propecia (Brand),Prohance (Brand),Brand-to-Brand,0.8444,5,75%
Copaxone (Brand),Cordarone (Brand),Brand-to-Brand,0.8444,3,25%
Lerochol (Brand),letrozole (Generic),Brand-to-Generic,0.8444,4,25%
Viracept (Brand),Viroptic (Brand),Brand-to-Brand,0.8444,5,50%
nicotine (Generic),Nilotinib (Brand),Generic-to-Brand,0.8444,3,75%
Votrient (Brand),vortioxetine (Generic),Brand-to-Generic,0.8444,7,25%
vibegron (Generic),Vigadrone (Brand),Generic-to-Brand,0.8444,4,50%
Cordarone (Brand),Cortrosyn (Brand),Brand-to-Brand,0.8444,5,100%
clonidine (Generic),clozapine (Generic),Generic-to-Generic,0.8444,3,50%
clonidine hydrochloride (Generic),clozapine (Generic),Generic-to-Generic,0.8444,3,50%
etomidate (Generic),etoposide (Generic),Generic-to-Generic,0.8444,5,50%
etomidate (Generic),etoposide phosphate (Generic),Generic-to-Generic,0.8444,5,50%
tolcapone (Generic),tolvaptan (Generic),Generic-to-Generic,0.8444,4,75%
calcitriol (Generic),paricalcitol (Generic),Generic-to-Generic,0.8444,6,25%
lorlatinib (Generic),larotrectinib (Generic),Generic-to-Generic,0.8444,5,50%
miconazole (Generic),metronidazole (Generic),Generic-to-Generic,0.8444,5,25%
prednisone (Generic),drospirenone (Generic),Generic-to-Generic,0.8444,7,25%
procarbazine hydrochloride (Generic),promethazine (Generic),Generic-to-Generic,0.8444,4,50%
procarbazine hydrochloride (Generic),promethazine hydrochloride (Generic),Generic-to-Generic,0.8444,4,50%
calcipotriene (Generic),calcitonin salmon (Generic),Generic-to-Generic,0.8444,11,75%
fluorescein (Generic),fluorouracil (Generic),Generic-to-Generic,0.8439,6,75%
fluorescein sodium (Generic),fluorouracil (Generic),Generic-to-Generic,0.8439,6,75%
Fluorescite (Brand),fluocinonide (Generic),Brand-to-Generic,0.8439,6,50%
Fluorescite (Brand),fluorouracil (Generic),Brand-to-Generic,0.8439,6,75%
elosulfase alfa (Generic),follitropin alfa (Generic),Generic-to-Generic,0.8439,10,25%
Demerol (Brand),Depo-Medrol (Brand),Brand-to-Brand,0.8438,3,25%
clonidine (Generic),clevidipine (Generic),Generic-to-Generic,0.8438,4,75%
clonidine hydrochloride (Generic),clevidipine (Generic),Generic-to-Generic,0.8438,4,75%
trifarotene (Generic),trofinetide (Generic),Generic-to-Generic,0.8438,6,75%
methadone hydrochloride (Generic),methotrexate (Generic),Generic-to-Generic,0.8437,7,75%
Methadose (Brand),Methsuximide (Brand),Brand-to-Brand,0.8437,7,75%
Methadose (Brand),methotrexate (Generic),Brand-to-Generic,0.8437,7,75%
Methitest (Brand),Methsuximide (Brand),Brand-to-Brand,0.8437,7,75%
econazole nitrate (Generic),clomiphene citrate (Generic),Generic-to-Generic,0.8437,9,25%
Clomiphene Citrtae (Brand),ibrexafungerp citrate (Generic),Brand-to-Generic,0.8437,13,0%
trifarotene (Generic),triptorelin (Generic),Generic-to-Generic,0.8436,7,75%
vinblastine sulfate (Generic),vincristine sulfate (Generic),Generic-to-Generic,0.8436,3,50%
delafloxacin meglumine (Generic),fosaprepitant dimeglumine (Generic),Generic-to-Generic,0.8436,13,25%
calcifediol (Generic),calcipotriene (Generic),Generic-to-Generic,0.8435,7,100%
carboplatin (Generic),carbamazepine (Generic),Generic-to-Generic,0.8435,7,75%
bupropion (Generic),buspirone hydrochloride (Generic),Generic-to-Generic,0.8434,5,25%
bupropion hydrochloride (Generic),buspirone hydrochloride (Generic),Generic-to-Generic,0.8434,5,25%
Diprolene (Brand),dantrolene sodium (Generic),Brand-to-Generic,0.8433,3,25%
Prevalite (Brand),pegvaliase (Generic),Brand-to-Generic,0.8433,4,75%
erlotinib (Generic),ensartinib (Generic),Generic-to-Generic,0.8433,4,25%
lapatinib (Generic),lorlatinib (Generic),Generic-to-Generic,0.8433,3,25%
sarilumab (Generic),siltuximab (Generic),Generic-to-Generic,0.8433,5,25%
tepotinib hydrochloride (Generic),trametinib (Generic),Generic-to-Generic,0.8433,4,25%
tucatinib (Generic),trametinib (Generic),Generic-to-Generic,0.8433,4,25%
dornase alfa (Generic),sebelipase alfa (Generic),Generic-to-Generic,0.8433,7,0%
human secretin (Generic),Humalog Kwikpen (Brand),Generic-to-Brand,0.843,10,75%
Lumigan (Brand),Lumi-Sporyn (Brand),Brand-to-Brand,0.8429,5,75%
Pregnyl (Brand),pregabalin (Generic),Brand-to-Generic,0.8429,5,75%
Baxdela (Brand),baxdrostat (Generic),Brand-to-Generic,0.8429,5,75%
Zavesca (Brand),zavegepant (Generic),Brand-to-Generic,0.8429,5,75%
Sucraid (Brand),sucralfate (Generic),Brand-to-Generic,0.8429,5,75%
sodium oxybate (Generic),oxybutynin (Generic),Generic-to-Generic,0.8429,5,100%
Lamisil (Brand),lamivudine (Generic),Brand-to-Generic,0.8429,5,50%
Lamisil (Brand),lamivudine (Generic),Brand-to-Generic,0.8429,5,50%
Gemtesa (Brand),gemtuzumab (Generic),Brand-to-Generic,0.8429,5,100%
methylene blue (Generic),brilliant blue g (Generic),Generic-to-Generic,0.8429,10,50%
methylprednisolone (Generic),methyltestosterone (Generic),Generic-to-Generic,0.8427,8,75%
methylprednisolone acetate (Generic),methyltestosterone (Generic),Generic-to-Generic,0.8427,8,75%
methylprednisolone sodium succinate (Generic),methyltestosterone (Generic),Generic-to-Generic,0.8427,8,75%
articaine hydrochloride (Generic),Rimactane (Brand),Generic-to-Brand,0.8426,6,0%
asenapine (Generic),Nesacaine (Brand),Generic-to-Brand,0.8426,5,25%
asenapine maleate (Generic),Nesacaine (Brand),Generic-to-Brand,0.8426,5,25%
Ethamolin (Brand),methacholine chloride (Generic),Brand-to-Generic,0.8426,4,50%
ibuprofen (Generic),flurbiprofen (Generic),Generic-to-Generic,0.8426,5,0%
carmustine (Generic),clemastine fumarate (Generic),Generic-to-Generic,0.8425,3,75%
cladribine (Generic),Cerubidine (Brand),Generic-to-Brand,0.8425,5,25%
eculizumab (Generic),elotuzumab (Generic),Generic-to-Generic,0.8425,4,50%
lazertinib (Generic),lenvatinib (Generic),Generic-to-Generic,0.8425,4,50%
lazertinib (Generic),lorlatinib (Generic),Generic-to-Generic,0.8425,4,50%
clobetasol propionate (Generic),clocortolone pivalate (Generic),Generic-to-Generic,0.8425,12,50%
Trileptal (Brand),trilaciclib (Generic),Brand-to-Generic,0.8424,6,75%
primidone (Generic),Primaxin Iv (Brand),Generic-to-Brand,0.8424,6,75%
Thiola Ec (Brand),thioguanine (Generic),Brand-to-Generic,0.8424,6,25%
brigatinib (Generic),pemigatinib (Generic),Generic-to-Generic,0.8424,3,50%
daclizumab (Generic),bevacizumab (Generic),Generic-to-Generic,0.8424,4,25%
daclizumab (Generic),natalizumab (Generic),Generic-to-Generic,0.8424,3,50%
daclizumab (Generic),ocrelizumab (Generic),Generic-to-Generic,0.8424,4,25%
daclizumab (Generic),palivizumab (Generic),Generic-to-Generic,0.8424,4,25%
daclizumab (Generic),vedolizumab (Generic),Generic-to-Generic,0.8424,4,50%
eculizumab (Generic),bevacizumab (Generic),Generic-to-Generic,0.8424,4,25%
eculizumab (Generic),mepolizumab (Generic),Generic-to-Generic,0.8424,3,50%
eculizumab (Generic),nemolizumab (Generic),Generic-to-Generic,0.8424,3,50%
eculizumab (Generic),ravulizumab (Generic),Generic-to-Generic,0.8424,3,50%
eculizumab (Generic),secukinumab (Generic),Generic-to-Generic,0.8424,3,25%
eculizumab (Generic),vedolizumab (Generic),Generic-to-Generic,0.8424,3,50%
emicizumab (Generic),mirikizumab (Generic),Generic-to-Generic,0.8424,4,50%
emicizumab (Generic),nemolizumab (Generic),Generic-to-Generic,0.8424,3,50%
enasidenib mesylate (Generic),vorasidenib (Generic),Generic-to-Generic,0.8424,3,50%
guselkumab (Generic),ustekinumab (Generic),Generic-to-Generic,0.8424,5,50%
infliximab (Generic),basiliximab (Generic),Generic-to-Generic,0.8424,4,0%
lazertinib (Generic),zongertinib (Generic),Generic-to-Generic,0.8424,4,0%
miconazole (Generic),fluconazole (Generic),Generic-to-Generic,0.8424,3,0%
ofatumumab (Generic),daratumumab (Generic),Generic-to-Generic,0.8424,3,50%
ofatumumab (Generic),panitumumab (Generic),Generic-to-Generic,0.8424,4,50%
olaratumab (Generic),daratumumab (Generic),Generic-to-Generic,0.8424,4,0%
omalizumab (Generic),natalizumab (Generic),Generic-to-Generic,0.8424,3,50%
omalizumab (Generic),palivizumab (Generic),Generic-to-Generic,0.8424,4,25%
omalizumab (Generic),vedolizumab (Generic),Generic-to-Generic,0.8424,4,50%
pacritinib (Generic),dacomitinib (Generic),Generic-to-Generic,0.8424,3,50%
pacritinib (Generic),tofacitinib (Generic),Generic-to-Generic,0.8424,4,25%
ranitidine (Generic),azacitidine (Generic),Generic-to-Generic,0.8424,3,25%
ranitidine hydrochloride (Generic),azacitidine (Generic),Generic-to-Generic,0.8424,3,25%
ribociclib (Generic),palbociclib (Generic),Generic-to-Generic,0.8424,3,25%
Rifadin Iv (Brand),Primaxin Iv (Brand),Brand-to-Brand,0.8424,3,0%
telavancin (Generic),oritavancin (Generic),Generic-to-Generic,0.8424,4,0%
telavancin hydrochloride (Generic),oritavancin (Generic),Generic-to-Generic,0.8424,4,0%
teplizumab (Generic),natalizumab (Generic),Generic-to-Generic,0.8424,4,50%
teplizumab (Generic),nemolizumab (Generic),Generic-to-Generic,0.8424,3,50%
teplizumab (Generic),ocrelizumab (Generic),Generic-to-Generic,0.8424,4,0%
teplizumab (Generic),palivizumab (Generic),Generic-to-Generic,0.8424,5,25%
teplizumab (Generic),vedolizumab (Generic),Generic-to-Generic,0.8424,3,50%
trametinib (Generic),pralsetinib (Generic),Generic-to-Generic,0.8424,3,25%
abrocitinib (Generic),cobimetinib (Generic),Generic-to-Generic,0.8418,6,25%
abrocitinib (Generic),dacomitinib (Generic),Generic-to-Generic,0.8418,4,0%
abrocitinib (Generic),tofacitinib (Generic),Generic-to-Generic,0.8418,4,25%
amivantamab (Generic),zanidatamab (Generic),Generic-to-Generic,0.8418,4,25%
cobimetinib (Generic),dacomitinib (Generic),Generic-to-Generic,0.8418,5,50%
dacomitinib (Generic),tofacitinib (Generic),Generic-to-Generic,0.8418,5,25%
dinutuximab (Generic),ublituximab (Generic),Generic-to-Generic,0.8418,4,0%
dulaglutide (Generic),teduglutide (Generic),Generic-to-Generic,0.8418,4,50%
encorafenib (Generic),regorafenib (Generic),Generic-to-Generic,0.8418,3,0%
mepolizumab (Generic),ocrelizumab (Generic),Generic-to-Generic,0.8418,4,0%
nemolizumab (Generic),ocrelizumab (Generic),Generic-to-Generic,0.8418,4,0%
nipocalimab (Generic),toripalimab (Generic),Generic-to-Generic,0.8418,5,25%
ocrelizumab (Generic),tocilizumab (Generic),Generic-to-Generic,0.8418,3,25%
ocrelizumab (Generic),vedolizumab (Generic),Generic-to-Generic,0.8418,4,0%
osimertinib (Generic),vimseltinib (Generic),Generic-to-Generic,0.8418,4,0%
pirfenidone (Generic),rifapentine (Generic),Generic-to-Generic,0.8418,7,50%
ibuprofen lysine (Generic),seladelpar lysine (Generic),Generic-to-Generic,0.8418,10,0%
Procardia Xl (Brand),procarbazine hydrochloride (Generic),Brand-to-Generic,0.8417,6,100%
asfotase alfa (Generic),darbepoetin alfa (Generic),Generic-to-Generic,0.8414,9,25%
eletriptan hydrobromide (Generic),azelastine hydrochrloride (Generic),Generic-to-Generic,0.8414,12,0%
Endari (Brand),Denavir (Brand),Brand-to-Brand,0.8413,4,50%
Myozyme (Brand),Pulmozyme (Brand),Brand-to-Brand,0.8413,4,25%
Veltane (Brand),Deblitane (Brand),Brand-to-Brand,0.8413,3,0%
Veltane (Brand),Deltasone (Brand),Brand-to-Brand,0.8413,3,50%
Teflaro (Brand),Steglatro (Brand),Brand-to-Brand,0.8413,3,0%
cocaine hydrochloride (Generic),Polocaine (Brand),Generic-to-Brand,0.8413,3,0%
Flector (Brand),Inflectra (Brand),Brand-to-Brand,0.8413,4,0%
Lipofen (Brand),ibuprofen (Generic),Brand-to-Generic,0.8413,4,50%
Indocin (Brand),lidocaine (Generic),Brand-to-Generic,0.8413,4,0%
Indocin (Brand),lidocaine hydrochloride (Generic),Brand-to-Generic,0.8413,4,0%
Avalide (Brand),Tavalisse (Brand),Brand-to-Brand,0.8413,3,50%
Xenleta (Brand),Venclexta (Brand),Brand-to-Brand,0.8413,3,25%
Linzess (Brand),Clindesse (Brand),Brand-to-Brand,0.8413,3,0%
Zestril (Brand),estradiol (Generic),Brand-to-Generic,0.8413,4,75%
Zestril (Brand),estradiol acetate (Generic),Brand-to-Generic,0.8413,4,75%
Zestril (Brand),Estradiol Valerate (Brand),Brand-to-Brand,0.8413,4,75%
Savella (Brand),Activella (Brand),Brand-to-Brand,0.8413,4,0%
Arestin (Brand),Targretin (Brand),Brand-to-Brand,0.8413,4,50%
Tri-Mili (Brand),etripamil (Generic),Brand-to-Generic,0.8413,4,0%
Pitocin (Brand),mitomycin (Generic),Brand-to-Generic,0.8413,3,25%
Denavir (Brand),entecavir (Generic),Brand-to-Generic,0.8413,4,25%
Leukine (Brand),Proleukin (Brand),Brand-to-Brand,0.8413,4,0%
Januvia (Brand),ansuvimab (Generic),Brand-to-Generic,0.8413,4,25%
Oralone (Brand),Cordarone (Brand),Brand-to-Brand,0.8413,3,25%
Halcion (Brand),Thalitone (Brand),Brand-to-Brand,0.8413,4,50%
cyclopentolate hydrochloride (Generic),cyclophosphamide (Generic),Generic-to-Generic,0.8411,8,100%
tividenofusp alfa (Generic),avalglucosidase alfa (Generic),Generic-to-Generic,0.8408,13,25%
vestronidase alfa (Generic),cipaglucosidase alfa (Generic),Generic-to-Generic,0.8408,9,0%
betaine (Generic),bedaquiline fumarate (Generic),Generic-to-Generic,0.8407,5,50%
Dotarem (Brand),dostarlimab (Generic),Brand-to-Generic,0.8407,5,25%
Minocin (Brand),milnacipran hydrochloride (Generic),Brand-to-Generic,0.8407,5,25%
Pitocin (Brand),pilocarpine hydrochloride (Generic),Brand-to-Generic,0.8407,5,50%
Vibativ (Brand),vinblastine sulfate (Generic),Brand-to-Generic,0.8407,5,25%
Vibativ (Brand),vinblastine sulfate (Generic),Brand-to-Generic,0.8407,5,25%
Topamax (Brand),toripalimab (Generic),Brand-to-Generic,0.8407,5,25%
tolcapone (Generic),topotecan (Generic),Generic-to-Generic,0.8407,7,25%
tolcapone (Generic),topotecan hydrochloride (Generic),Generic-to-Generic,0.8407,7,25%
besifloxacin (Generic),bexagliflozin (Generic),Generic-to-Generic,0.8407,7,75%
mifepristone (Generic),milsaperidone (Generic),Generic-to-Generic,0.8407,6,25%
iothalamate meglumine (Generic),fosaprepitant dimeglumine (Generic),Generic-to-Generic,0.8407,13,0%
aprepitant (Generic),aprocitentan (Generic),Generic-to-Generic,0.8406,5,75%
ensartinib (Generic),entrectinib (Generic),Generic-to-Generic,0.8406,4,75%
leuprolide (Generic),leflunomide (Generic),Generic-to-Generic,0.8406,5,50%
leuprolide acetate (Generic),leflunomide (Generic),Generic-to-Generic,0.8406,5,50%
leuprolide mesylate (Generic),leflunomide (Generic),Generic-to-Generic,0.8406,5,50%
prilocaine hydrochloride (Generic),Pralidoxime Chloride (Brand),Generic-to-Brand,0.8406,6,75%
topiramate (Generic),toripalimab (Generic),Generic-to-Generic,0.8406,6,25%
Milophene (Brand),milsaperidone (Generic),Brand-to-Generic,0.8405,7,50%
efgartigimod alfa (Generic),taliglucerase alfa (Generic),Generic-to-Generic,0.8405,13,25%
Olumiant (Brand),olutasidenib (Generic),Brand-to-Generic,0.8403,7,50%
Prohance (Brand),Provocholine (Brand),Brand-to-Brand,0.8403,7,75%
Prohance (Brand),procarbazine hydrochloride (Generic),Brand-to-Generic,0.8403,7,50%
delafloxacin meglumine (Generic),gadobenate dimeglumine (Generic),Generic-to-Generic,0.8403,13,25%
etonogestrel (Generic),levonorgestrel (Generic),Generic-to-Generic,0.8402,3,25%
Duopa (Brand),Dopram (Brand),Brand-to-Brand,0.84,3,50%
Ziana (Brand),Zantac (Brand),Brand-to-Brand,0.84,3,50%
Ziana (Brand),Zantac (Brand),Brand-to-Brand,0.84,3,50%
Eurax (Brand),Eraxis (Brand),Brand-to-Brand,0.84,3,75%
Zetia (Brand),Zytiga (Brand),Brand-to-Brand,0.84,2,75%
Zetia (Brand),Zometa (Brand),Brand-to-Brand,0.84,3,50%
Tolak (Brand),Thiola (Brand),Brand-to-Brand,0.84,3,75%
Xromi (Brand),Xeomin (Brand),Brand-to-Brand,0.84,2,75%
Sprix (Brand),Suprax (Brand),Brand-to-Brand,0.84,2,100%
mesna (Generic),Mirena (Brand),Generic-to-Brand,0.84,3,75%
Pivya (Brand),Polivy (Brand),Brand-to-Brand,0.84,3,50%
Sovuna (Brand),Sinuva (Brand),Brand-to-Brand,0.84,3,50%
aprepitant (Generic),Apresoline (Brand),Generic-to-Brand,0.84,5,75%
Septocaine (Brand),sertraline hydrochloride (Generic),Brand-to-Generic,0.84,4,50%
brodalumab (Generic),benralizumab (Generic),Generic-to-Generic,0.84,5,50%
budesonide (Generic),bumetanide (Generic),Generic-to-Generic,0.84,3,50%
ergotamine tartrate (Generic),ergocalciferol (Generic),Generic-to-Generic,0.84,7,75%
ixekizumab (Generic),inebilizumab (Generic),Generic-to-Generic,0.84,4,25%
laronidase (Generic),loratadine (Generic),Generic-to-Generic,0.84,6,75%
laronidase (Generic),lurasidone hydrochloride (Generic),Generic-to-Generic,0.84,5,75%
meperidine hydrochloride (Generic),Methergine (Brand),Generic-to-Brand,0.84,4,50%
mirabegron (Generic),Mirapex Er (Brand),Generic-to-Brand,0.84,5,100%
paroxetine (Generic),promethazine (Generic),Generic-to-Generic,0.84,5,75%
paroxetine (Generic),promethazine hydrochloride (Generic),Generic-to-Generic,0.84,5,75%
paroxetine hydrochloride (Generic),promethazine (Generic),Generic-to-Generic,0.84,5,75%
paroxetine hydrochloride (Generic),promethazine hydrochloride (Generic),Generic-to-Generic,0.84,5,75%
siltuximab (Generic),sutimlimab (Generic),Generic-to-Generic,0.84,5,25%
methotrexate (Generic),methylphenidate (Generic),Generic-to-Generic,0.84,7,50%
methotrexate (Generic),methylphenidate hydrochloride (Generic),Generic-to-Generic,0.84,7,50%
phentolamine mesylate (Generic),phendimetrazine tartrate (Generic),Generic-to-Generic,0.84,7,75%
semaglutide (Generic),setmelanotide (Generic),Generic-to-Generic,0.8398,6,50%
Icosapent Ethyl (Brand),telotristat ethinyl (Generic),Brand-to-Generic,0.8398,11,0%
Icosapent Ethyl (Brand),telotristat ethinyl (Generic),Brand-to-Generic,0.8398,11,0%
sebelipase alfa (Generic),tividenofusp alfa (Generic),Generic-to-Generic,0.8395,10,25%
dasatinib (Generic),afatinib oral (Generic),Generic-to-Generic,0.8394,7,50%
lapatinib (Generic),afatinib oral (Generic),Generic-to-Generic,0.8394,7,75%
ecallantide (Generic),plecanatide (Generic),Generic-to-Generic,0.8394,5,25%
extended phenytoin sodium (Generic),exenatide synthetic (Generic),Generic-to-Generic,0.8393,13,50%
Fenofibric Acid (Brand),aminosalicylic acid (Generic),Brand-to-Generic,0.8391,9,25%
ethacrynic acid (Generic),aminolevulinic acid hydrochloride (Generic),Generic-to-Generic,0.8391,11,0%
zoledronic acid (Generic),aminosalicylic acid (Generic),Generic-to-Generic,0.8391,11,0%
