Drug A,Drug B,Comparison Type,Jaro-Winkler Sim,Levenshtein Dist,Soundex Match
Betadine (Brand),bumetanide (Generic),Brand-to-Generic,0.9025,4,75%
Polocaine (Brand),scopolamine (Generic),Brand-to-Generic,0.9024,5,25%
revumenib (Generic),vemurafenib (Generic),Generic-to-Generic,0.9024,5,0%
Cycloset (Brand),Cycloserine (Brand),Brand-to-Brand,0.9023,4,100%
Granisol (Brand),granisetron (Generic),Brand-to-Generic,0.9023,4,100%
Fml Forte (Brand),Pred Forte (Brand),Brand-to-Brand,0.9022,4,25%
olipudase alfa (Generic),alglucosidase alfa (Generic),Generic-to-Generic,0.9022,7,25%
phentermine hydrochloride (Generic),phenylephrine hydrochloride (Generic),Generic-to-Generic,0.9021,5,50%
Claravis (Brand),Clariscan (Brand),Brand-to-Brand,0.902,5,75%
rifampin (Generic),rifaximin (Generic),Generic-to-Generic,0.902,3,50%
Lumakras (Brand),lumasiran (Generic),Brand-to-Generic,0.902,3,100%
methylergonovine maleate (Generic),methylprednisolone (Generic),Generic-to-Generic,0.902,7,75%
methylergonovine maleate (Generic),methylprednisolone acetate (Generic),Generic-to-Generic,0.902,7,75%
methylergonovine maleate (Generic),methylprednisolone sodium succinate (Generic),Generic-to-Generic,0.902,7,75%
taliglucerase alfa (Generic),cipaglucosidase alfa (Generic),Generic-to-Generic,0.9018,8,50%
datopotamab deruxtecan (Generic),fam-trastuzumab deruxtecan (Generic),Generic-to-Generic,0.9014,8,0%
