brand_id,formulation_id
BRAND_9c2afe780a03b38f4d7e,FORM_072b78a30ca5df3e2211
BRAND_a942f707c4d6392c5349,FORM_aa260d27847dec909fc5
BRAND_33495e12e238a19e3097,FORM_a6e0d5762ca8302823df
BRAND_97c830dda02db5618b52,FORM_fbbc5ac66641dac52bb9
BRAND_0351c3c1d02f18db849c,FORM_5b85e2d4bec96a7c6605
BRAND_d2595f7de54773818b17,FORM_d9d9aea94fabd6193113
BRAND_7062230ea47740f9f083,FORM_fd286324950e9fef7b25
BRAND_c2df28f64043c3be303b,FORM_0103bbf84ff0c39d123a
BRAND_6be80366b9ae59a7eb0a,FORM_a64cf55fb4c002d6876c
BRAND_210da4ffebd2103ba4c5,FORM_531daafd475b9e561f1a
BRAND_df64e9c746e407b60206,FORM_1ee3f92ea171ffb75021
BRAND_9750e5b0fee197807208,FORM_ad1b5244ad05ed1cf88b
BRAND_0b40c2996a20119df8bc,FORM_e26897f4fec86172b62b
BRAND_2ed010869c501cb9b54a,FORM_cf529a56d1a7739d3a83
BRAND_5a6a5fe42e2d73bab67e,FORM_54238e9415df5dffbf4b
BRAND_9ee50604bc3fab63f9e8,FORM_d9f6fde8d006bbeb49cd
BRAND_303d61ac654374d58b1b,FORM_763778ff22509dd858c1
BRAND_b8728c92e67280018cca,FORM_763778ff22509dd858c1
BRAND_7f806b79ad68ba1f918f,FORM_fc30c3873522f71e1ef9
BRAND_2d836e4f3b9e325b7284,FORM_a24eaea02dbbc5e3257f
BRAND_d76a6fbe80bf802f63c5,FORM_afc3f3e4ab91473758bf
BRAND_b71a3c234e0688f8cd2b,FORM_2abdfb96ad75eb6e8c33
BRAND_04afc7fe833496cdbd78,FORM_fe8dcfd8e7d70f43f18e
BRAND_9a46150ca682ee257e21,FORM_55def7a1948dcc855c25
BRAND_1a635556779ea3ed408a,FORM_16f29af1d29bc9dee90c
